#,time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg]
0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,2.4958216582094423e+002,2.4958216582094423e+002,2.4958216582094423e+002,2.4958216582094423e+002,2.4958216582094423e+002,2.4958216582094423e+002
1.0000000000000002e+001,1.9925689282246694e+001,-1.6042594653008337e+001,6.2302545813714417e+001,7.4437121994991571e+001,6.2190438247738392e+001,2.3584338689417791e+001,6.2015034901066279e+001,8.9885559058300259e+000,2.0553392453411657e+001,-1.8568623241194672e+001,2.0396489792788472e+001,-1.8819990799908084e+001,7.4899132779100930e-001,1.5427347260183715e+000,1.1391403152589821e+000,2.6818750412773538e+000,3.5806489898714502e+000,9.4975475895844493e-003,0.0000000000000000e+000,8.9265633099314527e+000,1.8990470248079077e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4170541217565108e+002,5.0217621547458799e+002,3.3974115405828911e+002,2.1980068474090152e+002,4.2683002913195151e+002,4.1160303907870480e+002
1.0000000000000021e+001,1.9925689282246687e+001,-1.6042594653008621e+001,6.2302545813714445e+001,7.4437121994991230e+001,6.2190438247738413e+001,2.3584338689417791e+001,6.2015034901066301e+001,8.9885559058290028e+000,2.0553392453411657e+001,-1.8568623241194672e+001,2.0396489792788465e+001,-1.8819990799908112e+001,7.4899132824298098e-001,1.5427347269493179e+000,1.1391403159463767e+000,2.6818750428956948e+000,3.5806489898714355e+000,9.4975475953156079e-003,0.0000000000000000e+000,8.9265633099315096e+000,1.8990470248079077e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4170541217565102e+002,5.0217621547458822e+002,3.3974115405828877e+002,2.1980068474090152e+002,4.2683002913195128e+002,4.1160303907870502e+002
2.0000000000000004e+001,1.7910717301364318e+001,-2.2461735562674306e+001,6.3917821984841524e+001,7.8131632585852969e+001,6.3818152250257185e+001,2.4705324833809527e+001,6.3631406696574153e+001,5.2076066658469244e+000,1.8492072036643336e+001,-2.1990572726174520e+001,1.8324216460678937e+001,-2.2281355455821000e+001,7.6879078059519168e-001,1.1378356638058413e+000,1.3887552728247194e+000,2.5265909366305608e+000,3.2864480173324844e+000,8.5469790804626640e-003,0.0000000000000000e+000,1.2209683580592525e+001,2.3135315140592070e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3799607275332500e+002,5.0557762776153248e+002,3.7245039612868658e+002,2.0996546902745592e+002,2.7868712636513311e+002,3.6755812669265151e+002
2.0000000000000043e+001,1.7910717301364318e+001,-2.2461735562674306e+001,6.3917821984841510e+001,7.8131632585853140e+001,6.3818152250257178e+001,2.4705324833809527e+001,6.3631406696574146e+001,5.2076066658467539e+000,1.8492072036643329e+001,-2.1990572726174548e+001,1.8324216460678930e+001,-2.2281355455821000e+001,7.6879078001620671e-001,1.1378356629489208e+000,1.3887552717788347e+000,2.5265909347277553e+000,3.2864480173324826e+000,8.5469790740257800e-003,0.0000000000000000e+000,1.2209683580592582e+001,2.3135315140592070e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3799607275332500e+002,5.0557762776153294e+002,3.7245039612868658e+002,2.0996546902745453e+002,2.7868712636513163e+002,3.6755812669265163e+002
3.0000000000000004e+001,1.7385922009131217e+001,-2.3623265476300020e+001,6.1425986309930295e+001,7.5954024987839034e+001,6.1326978287825774e+001,2.2979549262821934e+001,6.1138614559155549e+001,4.9914871443108382e+000,1.7978355783540607e+001,-2.2886735922974566e+001,1.7795816174865251e+001,-2.3209705027134731e+001,7.4450751935239301e-001,8.9931148084844958e-001,1.5609015940989790e+000,2.4602130749474287e+000,3.3044838514021126e+000,8.3319373390447794e-003,0.0000000000000000e+000,1.3905411473429638e+001,2.3169436260786199e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3771950885429703e+002,5.0496687023279094e+002,3.9703141125686545e+002,2.0969183696790068e+002,2.5693805374426131e+002,3.5946345730297139e+002
3.0000000000000064e+001,1.7385922009131217e+001,-2.3623265476300020e+001,6.1425986309930288e+001,7.5954024987839034e+001,6.1326978287825767e+001,2.2979549262821934e+001,6.1138614559155542e+001,4.9914871443105540e+000,1.7978355783540607e+001,-2.2886735922974566e+001,1.7795816174865251e+001,-2.3209705027134731e+001,7.4450751935239301e-001,8.9931148084844714e-001,1.5609015940989832e+000,2.4602130749474305e+000,3.3044838514021153e+000,8.3319373390447794e-003,0.0000000000000000e+000,1.3905411473429638e+001,2.3169436260786199e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3771950885429703e+002,5.0496687023279094e+002,3.9703141125686574e+002,2.0969183696790046e+002,2.5693805374426137e+002,3.5946345730297139e+002
4.0000000000000007e+001,1.7294888113460839e+001,-2.3835758950665422e+001,5.9896784791713827e+001,7.3867080182695929e+001,5.9795273223883875e+001,2.3543294184948593e+001,5.9593288662004689e+001,6.7343599755283208e+000,1.7895402521681479e+001,-2.3033205890758353e+001,1.7708526760289327e+001,-2.3365007839124758e+001,7.2952129313850933e-001,7.5927734436157635e-001,1.6562399730608188e+000,2.4155173174223954e+000,3.3110991277999302e+000,8.3472875404585582e-003,0.0000000000000000e+000,1.4794381671318774e+001,2.2598429806076126e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3765972712550371e+002,5.0364580478761485e+002,4.1268483804465473e+002,2.1426829074912052e+002,2.5587899173173119e+002,3.5966563408879892e+002
4.0000000000000085e+001,1.7294888113460839e+001,-2.3835758950665422e+001,5.9896784791713827e+001,7.3867080182695702e+001,5.9795273223883868e+001,2.3543294184948763e+001,5.9593288662004689e+001,6.7343599755296282e+000,1.7895402521681479e+001,-2.3033205890758353e+001,1.7708526760289327e+001,-2.3365007839124758e+001,7.2952129368229690e-001,7.5927734492754384e-001,1.6562399742953489e+000,2.4155173192228929e+000,3.3110991277998796e+000,8.3472875466805672e-003,0.0000000000000000e+000,1.4794381671318774e+001,2.2598429806076126e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3765972712550371e+002,5.0364580478761553e+002,4.1268483804465450e+002,2.1426829074912263e+002,2.5587899173173119e+002,3.5966563408879898e+002
5.0000000000000007e+001,1.7295775146850893e+001,-2.3842871706570264e+001,5.8280341840197245e+001,7.1321553423805994e+001,5.8174977340102110e+001,2.3100583056276093e+001,5.7957504968552861e+001,9.5044593117746672e+000,1.7902014936171309e+001,-2.3021511922477856e+001,1.7716090182909426e+001,-2.3351528671053131e+001,7.1293443283055180e-001,7.1205485996561180e-001,1.6463210806132715e+000,2.3583759405788833e+000,3.3079843418636163e+000,8.4218590282777832e-003,0.0000000000000000e+000,1.4987768485888694e+001,2.2245724965332499e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3764899493832064e+002,5.0184113228865874e+002,4.1729271399113441e+002,2.2181080493928772e+002,2.6187574605343434e+002,3.6647390897633557e+002
