V_sep_liq[%],h_gc_out[kJ/kg],h_gc_mid[kJ/kg],T_mid[degC],T_gc_mid[degC],T_gc_out[degC],Q_heat_s1[kW],h_suc[kJ/kg],T_dis[degC],Q_heat_total[kW],Q_heat_s2[kW],h_dis[kJ/kg],W_comp[kW],h_eva_out[kJ/kg],T_app[K],label,condition
37.6732196215662,234.239438361687,234.239438361687,0.0,0.0,0.0,0.0,234.239438361687,0.0,0.0,0.0,234.239438361687,0.0,234.239438361687,0.0,0,0pct
71.692339837729,215.537570554852,287.689093066436,5.49659155912514,29.1871284268152,7.89781544659644,2.07022942093458,439.546386988393,86.854468996787,2.74701769426366,0.676788273329078,508.393574150249,0.862524421273677,367.364437954386,7.89781544659644,0,0pct
71.692339837729,215.537570554853,287.689093066434,5.49659155912514,29.1871284268162,7.89781544659832,2.07022941944977,439.546386988393,86.854468996787,2.74701769229341,0.676788272843636,508.393574150249,0.86252442065505,367.364437954387,7.89781544659832,0,0pct
74.7303635935945,205.388803676621,317.253515106282,7.9045128149657,28.4230706958987,3.53578500545444,1.61427729225394,437.930100344028,85.9681596884206,2.54631705177291,0.932039759518971,511.001326421371,0.822183641638785,342.036818157467,3.53578500545444,0,0pct
74.7303635935945,205.388803676621,317.253515106282,7.9045128149657,28.4230706958987,3.53578500545444,1.61427729225394,437.930100344028,85.9681596884208,2.54631705177292,0.932039759518972,511.001326421371,0.822183641638787,342.036818157467,3.53578500545444,0,0pct
81.4176441547105,204.118620681692,352.994694434121,10.8101548147717,26.3053550535691,2.88746512944158,1.28600165185015,437.719239225713,82.9506089361743,2.50685267185034,1.22085102000018,509.8155297614,0.795460570018158,340.785789143967,2.88746512944158,0,0pct
81.4176441547105,204.118620681695,352.994694434122,10.8101548147717,26.3053550535691,2.88746512944181,1.28600165185015,437.719239225712,82.9506089361739,2.50685267185031,1.22085102000016,509.8155297614,0.795460570018163,340.785789143967,2.88746512944181,0,0pct
88.5164657309943,206.347158711016,385.424817901202,13.0185797459092,23.7943905790553,3.67755349113145,0.999699264216798,437.675346222033,77.9611175883651,2.47786774669138,1.47816848247458,506.536725138186,0.758215349153915,347.573239468613,3.67755349113145,0,0pct
88.5164657309943,206.347158711017,385.424817901202,13.0185797459092,23.7943905790553,3.6775534911323,0.999699265003519,437.675346222033,77.9611175883645,2.47786774864137,1.47816848363785,506.536725138185,0.758215349750599,347.573239468613,3.6775534911323,0,0pct
89.5164217099966,210.445740709383,377.867434603329,13.480403170288,20.9815983648339,5.17034127349638,0.27917953294486,360.598872775161,21.0522413129241,2.13302239464918,1.85384286170432,403.080310662942,0.621926741670355,357.896860240615,5.17034127349638,0,0pct
89.5164217099966,210.445740709385,377.867434603329,13.4804031702881,20.9815983648339,5.17034127349956,0.279179532731702,360.598872775161,21.0522413129241,2.13302239302053,1.85384286028883,403.080310662942,0.621926741195494,357.896860240615,5.17034127349956,0,0pct
89.5161624188487,216.722196005962,359.249738093268,14.4214509089775,21.1044100437305,7.62521109344044,0.494905218237446,361.303254546756,21.1783965896786,2.07142847529803,1.57652325706058,403.992258703514,0.624427582149834,360.270761614135,7.62521109344044,0,0pct
89.5161624188487,216.72219600596,359.249738093268,14.4214509089775,21.1044100437305,7.62521109344101,0.494905218237447,361.303254546756,21.1783965896786,2.07142847529805,1.5765232570606,403.992258703514,0.624427582149832,360.270761614135,7.62521109344101,0,0pct
89.5153840422418,221.07538015746,358.764791152416,14.7640932325673,21.7423581006822,9.3165209411805,0.531241283121874,364.030816169255,22.1031639244059,2.0450285981687,1.51378731504683,407.084854771785,0.627037026901861,363.487389285134,9.3165209411805,0,0pct
