h_gc_mid[kJ/kg],T_dis[degC],T_gc_mid[degC],h_suc[kJ/kg],P_eva_out[bar],V_air_outdoor[m/s],h_gc_out[kJ/kg],Q_heat_s2[kW],P_gc_mid[bar],W_comp[kW],binary_label,condition
234.239438361687,34.80916112064982,34.80916112064982,234.239438361687,0.0,234.239438361687,234.239438361687,0.0,0.0,0.0,0,normal
215.5375705548525,73.98866138965161,73.78819699647363,508.39357415024864,-18.220226479724744,439.54638698839307,393.2345853111655,2.7470176942636564,29.187128426815153,2.070229420934578,0,normal
215.53757055485343,73.98866138965161,73.78819699647363,508.39357415024864,-18.220226479724744,439.54638698839307,393.2345853111649,2.747017692293409,29.187128426816233,2.070229419449773,0,normal
205.3888036766212,69.4937048915399,69.30729830603602,511.0013264213712,-22.26151836887516,437.9301003440282,264.1030317271413,2.5463170517729146,28.423070695898726,1.614277292253944,0,normal
205.3888036766212,69.4937048915399,69.30729830603602,511.00132642137135,-22.26151836887516,437.9301003440282,264.1030317271412,2.546317051772917,28.423070695898726,1.6142772922539448,0,normal
204.11862068169236,66.20585761917899,66.01946294458965,509.81552976140017,-23.127613612452365,437.7192392257126,247.83636409458555,2.5068526718503383,26.305355053569144,1.286001651850154,0,normal
204.11862068169512,66.20585761917896,66.01946294458962,509.8155297614,-23.127613612452365,437.71923922571193,247.83636409458552,2.506852671850313,26.305355053569087,1.28600165185015,0,normal
206.34715871101616,62.4927150463806,62.3043355313667,506.53672513818594,-23.36105696271508,437.6753462220332,247.7991214538348,2.4778677466913783,23.79439057905529,0.9996992642167984,0,normal
206.34715871101713,62.492715046380575,62.30433553136668,506.53672513818526,-23.36105696271508,437.6753462220332,247.7991214538348,2.4778677486413687,23.79439057905529,0.999699265003519,0,normal
210.4457407093828,58.544671856503726,58.338582461768176,403.08031066294205,-23.442806076751708,360.5988727751611,250.53555904240991,2.133022394649184,20.98159836483387,0.27917953294486014,0,normal
210.44574070938512,58.544671856503726,58.33858246176819,403.080310662942,-23.442806076751708,360.5988727751611,250.53555904240991,2.1330223930205308,20.98159836483387,0.279179532731702,0,normal
216.72219600596168,58.71266989920981,58.48408688471728,403.9922587035139,-23.39318191706832,361.30325454675614,254.91257922108304,2.0714284752980308,21.104410043730525,0.4949052182374464,0,normal
216.7221960059601,58.71266989920981,58.484086884717286,403.99225870351376,-23.39318191706832,361.30325454675614,254.91257922108312,2.0714284752980467,21.104410043730525,0.494905218237447,0,normal
221.07538015746,59.591639384024056,59.36640941563222,407.0848547717847,-23.28530285715499,364.0308161692548,260.150448910348,2.0450285981686984,21.742358100682225,0.5312412831218736,0,normal
221.07538015745808,59.59163938402406,59.36640941563224,407.0848547717849,-23.28530285715499,364.0308161692548,260.1504489103481,2.045028598168721,21.742358100682225,0.5312412831218709,0,normal
222.18357433978315,60.40420226068152,60.18143601111436,410.87165355484336,-23.20975213058824,366.46800614407607,262.51472693292595,2.0461166367852663,22.32531325765024,0.5405750522575004,0,normal
222.18357433978315,60.40420226068153,60.18143601111436,410.8716535548433,-23.20975213058824,366.46800614407607,262.51472693292595,2.046116636785265,22.325313257650294,0.5405750522574929,0,normal
221.9096139275312,60.72054835494524,60.49921722377464,411.7118921360188,-23.182079108698787,366.7842025308074,262.66550858649106,2.051234336430289,22.550525446907045,0.5298332795106503,0,normal
221.9096139275312,60.72054835494524,60.49921722377464,411.7118921360188,-23.182079108698787,366.7842025308074,262.66550858649106,2.051234336430289,22.550525446907045,0.5298332795106503,0,normal
221.6907142787694,60.757884791458736,60.53636002265302,411.2032864771696,-23.17821645316988,366.3092921752025,262.34412657121857,2.051716949773243,22.577041882704464,0.521904497587888,0,normal
221.6907142787694,60.757884791458736,60.53636002265302,411.20328647717,-23.17821645316988,366.3092921752025,262.34412657121857,2.051716949773248,22.577041882704464,0.5219044975878929,0,normal
221.74080878438627,60.73943311438778,60.51736482844552,410.77741803779753,-23.17831252590588,366.01474329084846,262.2605811188914,2.050110455608137,22.56393915184321,0.5206016923069636,0,normal
221.74080878438627,60.73943311438778,60.51736482844552,410.77741803779753,-23.17831252590588,366.01474329084846,262.2605811188914,2.050110455608137,22.56393915184321,0.5206016923069636,0,normal
221.85829026002472,60.74260384015196,60.52029413657313,410.71130663887266,-23.176904600485955,365.9915270578095,262.3474015906257,2.0489307775916945,22.56619095417705,0.5217127580701274,0,normal
221.85829026002472,60.74260384015196,60.52029413657313,410.71130663887266,-23.176904600485955,365.9915270578095,262.3474015906257,2.0489307775916945,22.56619095417705,0.5217127580701274,0,normal
221.92007380338865,60.75862191513232,60.536311390027606,410.7866408525064,-23.17505996986938,366.05103100102656,262.43094115934167,2.0486299009323856,22.577565252932917,0.5224427708417829,0,normal
221.92007380338865,60.75862191513232,60.536311390027606,410.7866408525064,-23.17505996986938,366.05103100102656,262.43094115934167,2.0486299009323856,22.577565252932917,0.5224427708417829,0,normal
221.9296482184409,60.770114880279,60.54785217747285,410.83827975361334,-23.17398276110012,366.08304718416656,262.45937958375737,2.048702238246213,22.58572476440128,0.5224554450524521,0,normal
221.9296482184409,60.770114880279,60.54785217747285,410.83827975361334,-23.17398276110012,366.08304718416656,262.45937958375737,2.048702238246213,22.58572476440128,0.5224554450524521,0,normal
221.92391612053032,60.77389121105799,60.551645194434975,410.8440200249975,-23.173655906796316,366.08280067659217,262.4577077778368,2.0487714785144613,22.58840551479659,0.5222604556027713,0,normal
221.92391612053032,60.77389121105799,60.551645194434975,410.8440200249975,-23.173655906796316,366.08280067659217,262.4577077778368,2.0487714785144613,22.58840551479659,0.5222604556027713,0,normal
221.9213927622673,60.77401609460152,60.551763489809375,410.83440341637373,-23.173629044682055,366.0747595085326,262.4528280468915,2.048767382753496,22.58849416502818,0.5221571809714416,0,normal
221.9213927622673,60.77401609460152,60.551763489809375,410.83440341637373,-23.173629044682055,366.0747595085326,262.4528280468915,2.048767382753496,22.58849416502818,0.5221571809714416,0,normal
221.9228161789243,60.773742790415625,60.55148188221569,410.8287735407456,-23.173627666114296,366.0710753427972,262.4523761283874,2.048738591753052,22.58830015624613,0.5221514418935369,0,normal
221.9228161789243,60.773742790415625,60.55148188221569,410.8287735407456,-23.173627666114296,366.0710753427972,262.4523761283874,2.048738591753052,22.58830015624613,0.5221514418935369,0,normal
221.9246558729401,60.77387558367085,60.55161187438929,410.82861390612806,-23.17359997665736,366.0713091332912,262.4540234867451,2.0487245099683022,22.588394421478824,0.5221717146694833,0,normal
221.9246558729401,60.77387558367085,60.55161187438929,410.82861390612806,-23.17359997665736,366.0713091332912,262.4540234867451,2.0487245099683022,22.588394421478824,0.5221717146694833,0,normal
221.92543193573437,60.77414352647085,60.55188025490688,410.8299420773761,-23.17357122421097,366.0722899492477,262.4552112450139,2.0491430797897174,22.58858462406488,0.522288042281843,0,normal
221.92543193573437,60.77414352647085,60.55188025490688,410.8299420773759,-23.17357122421097,366.0722899492477,262.4552112450139,2.049143076568708,22.58858462406488,0.5222880414608664,0,normal
221.92547810265967,60.77430245590875,60.552039914351965,410.8306017819221,-23.173556773934138,366.0726696256748,262.4555129424341,2.0487055167498207,22.588697441804527,0.5221747061344145,0,normal
221.92547810265967,60.77430245590875,60.552039914351965,410.8306017819221,-23.173556773934138,366.0726696256748,262.4555129424341,2.0487055167498207,22.588697441804527,0.5221747061344145,0,normal
221.92537904249303,60.774343810216,60.55208142226801,410.83058827203774,-23.173553202147275,366.072599776486,262.45544101150256,2.048678355822344,22.58872679755558,0.5221644168345497,0,normal
221.92537904249303,60.774343810216,60.55208142226801,410.83058827203774,-23.173553202147275,366.072599776486,262.45544101150256,2.048678355822344,22.58872679755558,0.5221644168345497,0,normal
221.92535598200527,60.77434060295786,60.552078071200654,410.83042499581313,-23.173553148727905,366.0724727020584,262.4553731571421,2.04881598871469,22.588724520853305,0.5221982989058988,0,normal
221.92535598200527,60.77434060295786,60.552078071200654,410.83042499581313,-23.173553148727905,366.0724727020584,262.4553731571421,2.04881598871469,22.588724520853305,0.5221982989058988,0,normal
221.92538628472968,60.77433719307075,60.552074540076894,410.8303554593528,-23.17355304187592,366.07243044679456,262.4553788254667,2.0487100580972126,22.588722100312797,0.5221715290779969,0,normal
221.92538628472968,60.77433719307075,60.552074540076894,410.8303554593528,-23.17355304187592,366.07243044679456,262.4553788254667,2.0487100580972126,22.588722100312797,0.5221715290779969,0,normal
221.92541397862303,60.77434045142952,60.5520777695106,410.8303647010212,-23.173552534943354,366.0724417520877,262.45540749489805,2.048688179321182,22.58872441328947,0.5221663288010815,0,normal
221.92541397862303,60.77434045142952,60.5520777695106,410.8303647010212,-23.173552534943354,366.0724417520877,262.45540749489805,2.048688179321182,22.58872441328947,0.5221663288010815,0,normal
221.92542322773505,60.774344774938164,60.5520821054334,410.8303866396564,-23.173552096715586,366.0724571345101,262.4554239040251,2.0487029709210667,22.588727482372686,0.522170203767276,0,normal
221.92542322773505,60.774344774938164,60.5520821054334,410.8303866396564,-23.173552096715586,366.0724571345101,262.4554239040251,2.0487029709210667,22.588727482372686,0.522170203767276,0,normal
221.92542257471848,60.774346934635,60.552084275956986,410.8303947075528,-23.1735519067058,366.0724612894,262.45542661777915,2.0487256037930583,22.58872901545368,0.5221759216196409,0,normal
221.92542257471848,60.774346934635,60.552084275956986,410.8303947075528,-23.1735519067058,366.0724612894,262.45542661777915,2.0487256037930583,22.58872901545368,0.5221759216196409,0,normal
221.92542093841345,60.774347324627925,60.55208466679476,410.83039305884057,-23.173551873025527,366.07245929835153,262.45542488982534,2.048711367537784,22.58872929229381,0.5221722410144236,0,normal
