Metric,Training_Set,Test_Set
R2,0.999281108379364,0.9991210699081421
RMSE,0.4358527815614607,0.48116687515022155
MAE,0.11781769245862961,0.12996681034564972
SD,0.4301350016363572,0.4764035167868574
