feature,importance
SH_suc[K],0.696777735432355
T_app[K],0.11124643926656391
T_dis[degC],0.09315717776577565
Valve_open[null],0.044091263765905754
T_eva_in[degC],0.021661373991981554
eta_v[null],0.019681679130539226
m_dot[kg/s],0.013384330646878948
