h_dis[kJ/kg],Q_heat_s2[kW],P_eva_out[bar],h_eva_in[kJ/kg],T_eva_in[degC],Q_heat_total[kW],h_suc[kJ/kg],T_mid[degC],W_comp[kW],P_suc[bar],h_gc_out[kJ/kg],Q_heat_s1[kW],T_gc_mid[degC],P_gc_mid[bar],T_suc[degC],T_dis[degC],P_dis[bar],T_gc_out[degC],T_eva_out[degC],P_eva_in[bar],COP[null],label,condition
234.239438361687,0.0,0.0,234.239438361687,34.80916112064982,0.0,234.239438361687,0.0,0.0,0.0,234.239438361687,0.0,34.80916112064982,0.0,34.80916112064982,34.80916112064982,0.0,34.80916112064982,0.0,0.0,0.0,0,0pct
287.68909306643604,2.7470176942636564,-18.220226479724744,367.36443795438606,20.772324475269933,3.184857873597569,508.39357415024864,19.534780236721527,2.070229420934578,-17.05740777785826,393.2345853111655,0.6767882733290783,73.78819699647363,29.187128426815153,74.08275511204035,73.98866138965161,86.85446899678702,20.92079633537276,0.862524421273677,-17.985489096739514,0.009380096909534013,0,0pct
287.68909306643366,2.747017692293409,-18.220226479724744,367.36443795438686,20.77232447526993,3.1848578735975575,508.39357415024864,19.534780236721527,2.070229419449773,-17.05740777785809,393.2345853111649,0.676788272843636,73.78819699647363,29.187128426816233,74.08275511204035,73.98866138965161,86.85446899678702,20.920796335372756,0.8625244206550502,-17.985489096739514,0.00938009690280634,0,0pct
317.2535151062824,2.5463170517729146,-22.26151836887516,342.0368181574673,18.33563164617088,3.0970174092707192,511.0013264213712,23.27737303855247,1.614277292253944,-22.463052009111976,264.1030317271413,0.9320397595189709,69.30729830603602,28.423070695898726,69.58137573699926,69.4937048915399,85.96815968842061,18.51336874424502,0.8221836416387847,-21.953817750990623,0.008331847886677141,0,0pct
317.25351510628246,2.546317051772917,-22.26151836887516,342.0368181574673,18.33563164617088,3.097017409270712,511.00132642137135,23.27737303855247,1.6142772922539448,-22.463052009111976,264.1030317271412,0.9320397595189716,69.30729830603602,28.423070695898726,69.58137573699926,69.4937048915399,85.96815968842081,18.51336874424501,0.8221836416387873,-21.95381775099065,0.008331847886677141,0,0pct
352.99469443412147,2.5068526718503383,-23.127613612452365,340.7857891439668,17.84208467136674,3.151448062086994,509.81552976140017,23.722144416382548,1.286001651850154,-23.51298783567876,247.83636409458555,1.2208510200001843,66.01946294458965,26.305355053569144,66.29739626532901,66.20585761917899,82.95060893617426,18.032096294703177,0.7954605700181576,-22.792114225757928,0.008200451484436494,0,0pct
352.9946944341217,2.506852671850313,-23.127613612452365,340.78578914396684,17.84208467136674,3.151448062086943,509.8155297614,23.722144416382605,1.28600165185015,-23.512987835679667,247.83636409458552,1.2208510200001632,66.01946294458962,26.305355053569087,66.29739626532898,66.20585761917896,82.95060893617392,18.032096294703177,0.7954605700181625,-22.792114225757928,0.008200451484436494,0,0pct
385.42481790120166,2.4778677466913783,-23.36105696271508,347.5732394686127,17.710743426567408,3.2680263588127145,506.53672513818594,23.293514021990973,0.9996992642167984,-23.801351003522853,247.7991214538348,1.47816848247458,62.3043355313667,23.79439057905529,62.589651545571,62.4927150463806,77.96111758836508,17.901296107107314,0.7582153491539145,-23.022783008049515,0.008254343334389486,0,0pct
385.4248179012024,2.4778677486413687,-23.36105696271508,347.5732394686128,17.710743426567408,3.26802635881273,506.53672513818526,23.293514021990973,0.999699265003519,-23.801351003522853,247.7991214538348,1.47816848363785,62.30433553136668,23.79439057905529,62.589651545570966,62.492715046380575,77.96111758836452,17.901296107107314,0.7582153497505986,-23.022783008049515,0.008254343340885394,0,0pct
377.8674346033291,2.133022394649184,-23.442806076751708,357.8968602406146,17.664919027278366,3.4297003999544504,403.08031066294205,18.825820440037944,0.27917953294486014,-24.427906335409855,250.53555904240991,1.853842861704324,58.338582461768176,20.98159836483387,58.64125927405653,58.544671856503726,21.05224131292408,17.847400556141658,0.6219267416703548,-23.11819178335693,0.011072895146304306,0,0pct
