SH_suc[K],T_app[K],T_dis[degC],eta_v[null],Valve_open[null],m_dot[kg/s],T_eva_in[degC],Leak_pct
0.42528987682194,0.3581694182189346,0.4201863927941022,-0.32819183596310886,0.4700094943335592,0.47083720576363763,-0.24971878840832448,30
0.42528989202401035,0.35816949102253853,0.4201863951135067,-0.32819184341618113,0.47000956330819904,0.470837221636237,-0.24971879081055648,40
0.4227716787205045,0.34612719194439945,0.41980088921263603,-0.32821005193646074,0.4586034759842338,0.4673379464262042,-0.24931398890049425,50
0.42528989177444504,0.3581694898257187,0.4201863950753575,-0.32819184847669436,0.470009562174229,0.47083721776021237,-0.24971879077106512,30
0.42528946234703274,0.35816743313904303,0.42018632959832186,-0.32819169865106845,0.4700076135434694,0.4708367269955156,-0.24971872316888535,50
-1.8796465045518356,-2.175879521378236,0.2653834905603232,-0.320470030524723,-2.1027237595051687,-0.3631239051012797,-0.021006797752281075,0
-1.8796465045631254,-2.1758795213790147,0.26538349056020555,-0.32047002301159133,-2.1027237595051687,-0.3631239004549441,-0.021006797752077887,0
0.42528989100928194,0.35816948615632965,0.4201863949584564,-0.32819184667846296,0.4700095586990088,0.4708372179527897,-0.2497187906498723,25
-1.879646504577922,-2.175879521378785,0.26538349056017524,-0.3204700305250219,-2.1027237595051687,-0.36312390510098824,-0.021006797752077887,0
0.4252898920154547,0.3581694908182109,0.42018639512785005,-0.32819183205858704,0.4700095631724137,0.47083722953119034,-0.24971879081287138,35
0.4252853350877701,0.3581476770349887,0.4201856994867325,-0.32819200329544707,0.4699888966822366,0.4708307964549325,-0.2497180681317171,10
-1.879646504557566,-2.175879521378189,0.26538349056026433,-0.32047002301159133,-2.1027237595051687,-0.3631239004550898,-0.021006797752213348,0
0.42029778982094673,0.334335850481865,0.41941923426169325,-0.32822834405286067,0.44744232401616285,0.46390917734058285,-0.24889928492262542,35
0.391657213063356,0.19936033119279672,0.4148625802820783,-0.3283650261896484,0.32009799925926363,0.42459007276628224,-0.2433002061795457,30
0.4252898920263183,0.35816949102198814,0.4201863951135958,-0.32819184906393234,0.4700095633092016,0.4708372176973306,-0.2497187908106242,35
0.42528989101065146,0.358169486103667,0.4201863949575394,-0.3281918466540261,0.4700095586517853,0.47083721795575134,-0.24971879064837255,20
0.42528983471621074,0.3581692165445859,0.4201863863744997,-0.32819169756940364,0.47000930325444973,0.4708372439200782,-0.24971878178050091,45
0.42528921654744606,0.358166257936193,0.42018629201269786,-0.3281903374671169,0.4700065002741379,0.47083733623588675,-0.24971868370554287,10
0.42528989201159684,0.35816949097950107,0.42018639511229466,-0.3281918490432645,0.47000956326866855,0.47083721769961245,-0.24971879080926235,45
0.42477530305325273,0.3557067759551176,0.42010781208404707,-0.328195782076779,0.46767647557685427,0.470121635364262,-0.24963703935339068,25
-1.8796465045663755,-2.175879521379885,0.26538349056017524,-0.3204700154984613,-2.1027237595051687,-0.36312389580885196,-0.021006797752007738,0
0.42528987331967494,0.3581694014380077,0.42018639226102017,-0.3281917995008923,0.47000947843229646,0.47083722633792724,-0.249718787863155,45
-1.9975551848169715,-1.5361750536873993,-2.9902053722010113,4.020775912225285,-0.8223935099908172,-1.8256566807276697,1.8946867289807223,5
