number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units_per_layer,state
34,155.08555603027344,2026-05-11 17:09:16.522647,2026-05-11 17:10:16.754639,0 days 00:01:00.231992,relu,32,0.02105240087579696,0.001795312419122078,3,128,COMPLETE
35,159.26199340820312,2026-05-11 17:10:16.755752,2026-05-11 17:10:42.449516,0 days 00:00:25.693764,elu,32,0.039027958366851356,0.0005130564140550579,3,16,COMPLETE
36,158.3619842529297,2026-05-11 17:10:42.449516,2026-05-11 17:10:59.219867,0 days 00:00:16.770351,relu,16,0.08005529275599861,0.002144005026248033,3,128,COMPLETE
37,157.3377685546875,2026-05-11 17:10:59.219867,2026-05-11 17:11:26.155801,0 days 00:00:26.935934,relu,32,0.023010043639387995,0.003251793318707256,3,16,COMPLETE
38,157.08502197265625,2026-05-11 17:11:26.156828,2026-05-11 17:12:04.509029,0 days 00:00:38.352201,elu,16,0.055967661575808195,0.0017833985430224422,3,64,COMPLETE
39,155.8902587890625,2026-05-11 17:12:04.510029,2026-05-11 17:13:05.649518,0 days 00:01:01.139489,relu,32,0.09261249739051762,0.0005951752139622647,3,128,COMPLETE
40,159.34445190429688,2026-05-11 17:13:05.650526,2026-05-11 17:13:37.922074,0 days 00:00:32.271548,elu,16,0.12347819904492044,0.0010009905213165039,3,16,COMPLETE
41,155.38397216796875,2026-05-11 17:13:37.922074,2026-05-11 17:14:27.006248,0 days 00:00:49.084174,relu,32,0.013404345204441219,0.0006223072392396575,3,128,COMPLETE
42,157.6046142578125,2026-05-11 17:14:27.007248,2026-05-11 17:14:51.068678,0 days 00:00:24.061430,relu,32,0.09402804816005098,0.0006002870991021779,3,128,COMPLETE
43,157.40185546875,2026-05-11 17:14:51.068678,2026-05-11 17:15:24.759991,0 days 00:00:33.691313,relu,32,0.04973576788626567,0.0003200874350644779,3,128,COMPLETE
44,157.68423461914062,2026-05-11 17:15:24.761303,2026-05-11 17:15:44.768891,0 days 00:00:20.007588,relu,32,0.010802928870851295,0.0007522843292119386,3,128,COMPLETE
45,155.751220703125,2026-05-11 17:15:44.768891,2026-05-11 17:16:47.296882,0 days 00:01:02.527991,relu,32,0.07039113485050569,0.00039405173065310743,3,128,COMPLETE
46,157.814208984375,2026-05-11 17:16:47.297890,2026-05-11 17:17:24.473634,0 days 00:00:37.175744,relu,16,0.0736239576809023,0.00039027630081962854,3,64,COMPLETE
47,158.64566040039062,2026-05-11 17:17:24.474824,2026-05-11 17:18:03.839298,0 days 00:00:39.364474,relu,32,0.031565210525797166,0.00015574515498642923,3,32,COMPLETE
48,156.50108337402344,2026-05-11 17:18:03.839298,2026-05-11 17:19:00.088956,0 days 00:00:56.249658,relu,32,0.013271001324108033,0.00021307228349993457,3,128,COMPLETE
49,158.35365295410156,2026-05-11 17:19:00.089955,2026-05-11 17:19:26.478232,0 days 00:00:26.388277,relu,32,0.00222327146641799,0.0008774995741362831,1,128,COMPLETE
