time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],N_comp[rpm],Valve_open[null],SH_suc[K],SH_evap[K],T_app[K],PR[null],eta_is[null],eta_v[null]
0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6,-20,2.5,260.541256863271,260.541256863271,260.541256863271,260.541256863271,260.541256863271,260.541256863271,2000.0,0.025,0.0458138978759166,0.0458138978759166,0.0,1.0,0.831017535399593,0.0
10.0,19.7069543582984,-15.1481037594353,58.3035536792899,70.7600638239213,58.1833546028521,20.716497751131,57.9992286236267,9.89295727457755,20.3413753484674,-17.1108905662315,20.1875615493137,-19.1569197069729,0.709673866220585,1.21382593994525,1.42485979863475,2.63868573858,3.71816670188588,0.0094839568669868,0,11.0744206407938,18.3026291212386,6,-20,2.5,443.271092275751,501.090094332329,373.102804114835,222.863845986018,439.462010756592,424.500425143589,2000.0,0.025,4.83432157052536,0.0413347249057097,9.89295727457755,2.95852685398537,0.831017535399593,0.841289583324517
10.0,19.7069543582984,-15.1481037594348,58.30355367929,70.7600638239216,58.1833546028522,20.716497751131,57.9992286236267,9.89295727457875,20.3413753484674,-17.1108905662317,20.1875615493137,-19.1569197069729,0.709673866623899,1.21382594063509,1.42485979944448,2.63868574007957,3.71816670188586,0.0094839568723767,0,11.0744206407938,18.3026291212386,6,-20,2.5,443.271092275751,501.090094332329,373.102804114835,222.863845986022,439.462010756592,424.500425143589,2000.0,0.025,4.83432157052593,0.0413347249057097,9.89295727457875,2.95852685398538,0.831017535399604,0.84128958380264
20.0,17.9438051862629,-22.3530078006581,61.0181365729471,73.7722673706666,60.9118586139131,22.6862520556787,60.7128526764438,6.69576728245079,18.5312197550192,-21.9230336942225,18.3690209255604,-22.2035481339267,0.739268098793467,0.927276125124199,1.57890755888124,2.50618368400544,3.3900876936198,0.0086881793770381,0,13.891865845901,22.6811417238962,6,-20,2.5,438.058270789803,502.489150344687,395.760676531763,214.030133185235,290.571618973329,384.499268522481,2000.0,0.025,0.632071096888239,0.0382611861044211,6.69576728245079,3.40051265267081,0.831422557942843,0.821524261468858
20.0,17.9438051862629,-22.3530078006581,61.0181365729471,73.7722673706666,60.9118586139131,22.6862520556787,60.7128526764438,6.6957672824542,18.5312197550192,-21.9230336942225,18.3690209255604,-22.2035481339267,0.739268099314588,0.927276125777848,1.57890755999421,2.50618368577205,3.39008769361975,0.0086881793831625,0,13.891865845901,22.6811417238962,6,-20,2.5,438.058270789803,502.489150344687,395.760676531764,214.030133185239,290.571618973328,384.499268522481,2000.0,0.025,0.632071096888239,0.0382611861044211,6.6957672824542,3.40051265267081,0.831422557942843,0.82152426204796
30.0,17.3993692597304,-23.5993501579636,60.0570104648139,73.8148435433906,59.9546267867261,23.6323035270789,59.7504732476394,7.20603605523257,17.9955931903229,-22.8563635373542,17.8149360730675,-23.1757631844316,0.730938963966343,0.765121714557772,1.65466235813672,2.4197840726945,3.31051454633621,0.0084029406757986,0,14.8828406155757,22.6749210536176,6,-20,2.5,437.719165911802,503.430864032583,412.376821873103,215.46214378876,262.952897265413,366.718658778279,2000.0,0.025,0.356478781326445,0.037123122758004,7.20603605523257,3.45167744694123,0.825939421126421,0.818502725372107
30.0000000000001,17.3993692597304,-23.5993501579636,60.0570104648139,73.8148435433902,59.9546267867261,23.6323035270792,59.7504732476394,7.20603605523189,17.9955931903229,-22.8563635373542,17.8149360730675,-23.1757631844316,0.730938963966345,0.765121714557775,1.65466235813673,2.41978407269451,3.31051454633622,0.0084029406757986,0,14.8828406155759,22.6749210536175,6,-20,2.5,437.719165911802,503.430864032583,412.376821873103,215.462143788759,262.952897265413,366.718658778279,2000.0,0.025,0.356478781326445,0.037123122758004,7.20603605523189,3.45167744694123,0.825939421126421,0.818502725372107
40.0,17.3200168039228,-23.794090034122,58.4050762498581,71.4458364093211,58.2996618083296,23.2031495377342,58.0819063278676,9.62792402031192,17.9250621829787,-22.9807780923224,17.7404461357728,-23.3081516117419,0.714249205990854,0.71411572550643,1.6446503640398,2.35876608954623,3.3024413184667,0.0084314060607582,0,15.0483639320728,22.3461600108828,6,-20,2.5,437.655239572686,501.885570954068,417.188461081719,222.126053674444,263.324988504728,367.700171238426,2000.0,0.025,0.305079371794307,0.0369650355654016,9.62792402031192,3.3721142947523,0.826670289807092,0.824827142224733
40.0000000000001,17.3200168039228,-23.794090034122,58.4050762498581,71.4458364093211,58.2996618083296,23.2031495377342,58.0819063278676,9.62792402031158,17.9250621829787,-22.9807780923224,17.7404461357728,-23.3081516117419,0.714249205478222,0.714115724993894,1.64465036285942,2.35876608785332,3.30244131846674,0.0084314060547068,0,15.0483639320728,22.3461600108828,6,-20,2.5,437.655239572686,501.885570954068,417.188461081719,222.12605367444,263.324988504728,367.700171238426,2000.0,0.025,0.305079371794307,0.0369650355654016,9.62792402031158,3.3721142947523,0.826670289807092,0.824827141632737
50.0,17.3388423768184,-23.7727147737217,57.0654531822657,69.2489663084024,56.9558848491727,22.7237026638936,56.7136355824831,12.7982348881216,17.9478221740038,-22.9405901169846,17.7656092642619,-23.2633835944558,0.701039904299478,0.681173060807095,1.60843012427271,2.28960318507981,3.26600978209325,0.0085143122788695,0,14.9440456076041,21.9308561106592,6,-20,2.5,437.639757446408,500.301488126868,420.298190327045,231.389201369188,271.453675786368,376.376631049691,2000.0,0.025,0.292405050827572,0.0370194477984285,12.7982348881216,3.29119164602135,0.827973711267085,0.831918274259066
