time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],N_comp[rpm],Valve_open[null],SH_suc[K],SH_evap[K],T_app[K],PR[null],eta_is[null],eta_v[null]
0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6,-20,2.5,249.582165820944,249.582165820944,249.582165820944,249.582165820944,249.582165820944,249.582165820944,2000.0,0.025,0.0458138978759166,0.0458138978759166,0.0,1.0,0.832103776791422,0.0
10.0,19.9256892822467,-16.0425946530083,62.3025458137144,74.4371219949916,62.1904382477384,23.5843386894178,62.0150349010663,8.98855590583003,20.5533924534117,-18.5686232411947,20.3964897927885,-18.8199907999081,0.748991327791009,1.54273472601837,1.13914031525898,2.68187504127735,3.58064898987145,0.0094975475895844,0,8.92656330993145,18.9904702480791,6,-20,2.5,441.705412175651,502.176215474588,339.741154058289,219.800684740902,426.830029131952,411.603039078705,2000.0,0.025,3.58122135755468,0.041628271031982,8.98855590583003,3.12674482328822,0.832103776791422,0.824726599009454
10.0,19.9256892822467,-16.0425946530086,62.3025458137144,74.4371219949912,62.1904382477384,23.5843386894178,62.0150349010663,8.988555905829,20.5533924534117,-18.5686232411947,20.3964897927885,-18.8199907999081,0.748991328242981,1.54273472694932,1.13914031594638,2.68187504289569,3.58064898987144,0.0094975475953156,0,8.92656330993151,18.9904702480791,6,-20,2.5,441.705412175651,502.176215474588,339.741154058289,219.800684740902,426.830029131951,411.603039078705,2000.0,0.025,3.5812213575544,0.0416282710320104,8.988555905829,3.12674482328822,0.832103776791424,0.824726599507124
20.0,17.9107173013643,-22.4617355626743,63.9178219848415,78.131632585853,63.8181522502572,24.7053248338095,63.6314066965742,5.20760666584692,18.4920720366433,-21.9905727261745,18.3242164606789,-22.281355455821,0.768790780595192,1.13783566380584,1.38875527282472,2.52659093663056,3.28644801733248,0.0085469790804626,0,12.2096835805925,23.1353151405921,6,-20,2.5,437.996072753325,505.577627761532,372.450396128687,209.965469027456,278.687126365133,367.558126692652,2000.0,0.025,0.581719493448563,0.0381733131455348,5.20760666584692,3.56869135442011,0.828317661514043,0.809392455567811
20.0,17.9107173013643,-22.4617355626743,63.9178219848415,78.1316325858531,63.8181522502572,24.7053248338095,63.6314066965742,5.20760666584675,18.4920720366433,-21.9905727261745,18.3242164606789,-22.281355455821,0.768790780016207,1.13783566294892,1.38875527177883,2.52659093472776,3.28644801733248,0.0085469790740257,0,12.2096835805926,23.1353151405921,6,-20,2.5,437.996072753325,505.577627761533,372.450396128687,209.965469027455,278.687126365132,367.558126692652,2000.0,0.025,0.581719493448563,0.0381733131455917,5.20760666584675,3.56869135442011,0.828317661514031,0.809392454958242
30.0,17.3859220091312,-23.6232654763,61.4259863099303,75.954024987839,61.3269782878258,22.9795492628219,61.1386145591555,4.99148714431084,17.9783557835406,-22.8867359229746,17.7958161748653,-23.2097050271347,0.744507519352393,0.89931148084845,1.56090159409898,2.46021307494743,3.30448385140211,0.0083319373390447,0,13.9054114734296,23.1694362607862,6,-20,2.5,437.719508854297,504.966870232791,397.031411256866,209.691836967901,256.938053744261,359.463457302971,2000.0,0.025,0.356820493084712,0.0370831299878809,4.99148714431084,3.53308764859689,0.824526141213482,0.812237947363796
30.0000000000001,17.3859220091312,-23.6232654763,61.4259863099303,75.954024987839,61.3269782878258,22.9795492628219,61.1386145591555,4.99148714431055,17.9783557835406,-22.8867359229746,17.7958161748653,-23.2097050271347,0.744507519352393,0.899311480848447,1.56090159409898,2.46021307494743,3.30448385140212,0.0083319373390447,0,13.9054114734296,23.1694362607862,6,-20,2.5,437.719508854297,504.966870232791,397.031411256866,209.6918369679,256.938053744261,359.463457302971,2000.0,0.025,0.356820493084712,0.0370831299878809,4.99148714431055,3.53308764859689,0.824526141213482,0.812237947363796
40.0,17.2948881134608,-23.8357589506654,59.8967847917138,73.8670801826959,59.7952732238839,23.5432941849486,59.5932886620047,6.73435997552832,17.8954025216815,-23.0332058907584,17.7085267602893,-23.3650078391248,0.729521293138509,0.759277344361576,1.65623997306082,2.4155173174224,3.31109912779993,0.0083472875404585,0,14.7943816713188,22.5984298060761,6,-20,2.5,437.659727125504,503.645804787615,412.684838044655,214.26829074912,255.878991731731,359.665634088799,2000.0,0.025,0.308902717859038,0.0368948541047267,6.73435997552832,3.46326523761061,0.824956865870617,0.817849548621517
40.0000000000001,17.2948881134608,-23.8357589506654,59.8967847917138,73.8670801826957,59.7952732238839,23.5432941849488,59.5932886620047,6.73435997552963,17.8954025216815,-23.0332058907584,17.7085267602893,-23.3650078391248,0.729521293682297,0.759277344927544,1.65623997429535,2.41551731922289,3.31109912779988,0.0083472875466805,0,14.7943816713188,22.5984298060761,6,-20,2.5,437.659727125504,503.645804787616,412.684838044654,214.268290749123,255.878991731731,359.665634088799,2000.0,0.025,0.308902717859038,0.0368948541047267,6.73435997552963,3.46326523761061,0.824956865870605,0.817849549231136
50.0,17.2957751468509,-23.8428717065703,58.2803418401972,71.321553423806,58.1749773401021,23.1005830562761,57.9575049685529,9.50445931177467,17.9020149361713,-23.0215119224779,17.7160901829094,-23.3515286710531,0.712934432830552,0.712054859965612,1.64632108061327,2.35837594057888,3.30798434186362,0.0084218590282777,0,14.9877684858887,22.2457249653325,6,-20,2.5,437.648994938321,501.841132288659,417.292713991134,221.810804939288,261.875746053434,366.473908976336,2000.0,0.025,0.300183277160869,0.0369115652908683,9.50445931177467,3.36962878768741,0.826607675235603,0.825054640177192
50.0000000000001,17.2957751468509,-23.8428717065703,58.2803418401972,71.3215534238057,58.1749773401021,23.1005830562763,57.9575049685528,9.50445931177632,17.9020149361713,-23.0215119224779,17.7160901829094,-23.3515286710531,0.712934432830554,0.712054859965607,1.64632108061326,2.35837594057887,3.30798434186359,0.0084218590282777,0,14.9877684858886,22.2457249653325,6,-20,2.5,437.648994938321,501.841132288659,417.292713991135,221.810804939289,261.875746053434,366.473908976336,2000.0,0.025,0.300183277160869,0.0369115652908683,9.50445931177632,3.36962878768741,0.826607675235603,0.825054640177192
60.0,17.3315585263547,-23.7865420188915,56.9790610912202,69.1322436624272,56.8694250017487,22.6604404538234,56.6267439454002,12.8056798354806,17.9409906286944,-22.9526487805929,17.758501497252,-23.2760242927579,0.700080637832412,0.679712680043437,1.60867589039255,2.28838857043599,3.26874997931851,0.0085133203653858,0,14.9170344853102,21.8711530891657,6,-20,2.5,437.638896720734,500.232538051527,420.391459498079,231.431591743866,271.258229660936,376.397133077282,2000.0,0.025,0.291748799694282,0.0370041849692981,12.8056798354806,3.28759014975928,0.828018244905752,0.832178456230465
60.0000000000001,17.3315585263547,-23.7865420188915,56.9790610912202,69.1322436624273,56.8694250017486,22.6604404538237,56.6267439454002,12.8056798354835,17.9409906286944,-22.9526487805929,17.758501497252,-23.2760242927579,0.700080637348222,0.679712679573333,1.60867588927997,2.2883885688533,3.26874997931853,0.0085133203594978,0,14.9170344853102,21.8711530891657,6,-20,2.5,437.638896720734,500.232538051527,420.391459498079,231.431591743865,271.258229660936,376.397133077282,2000.0,0.025,0.291748799694282,0.0370041849692981,12.8056798354835,3.28759014975928,0.828018244905752,0.832178455654912
70.0,17.3795989973577,-23.708222712004,56.0775401156719,67.5098209367314,55.9651795591086,22.259692869921,55.7099942002889,15.7988456794603,17.989290283903,-22.8674667684664,17.811964048927,-23.1810374409356,0.690282970126348,0.659933151593594,1.5545422728524,2.214475424446,3.20806903876053,0.0085860264524257,0,14.7168147217228,21.476858112868,6,-20,2.5,437.628727312592,498.995228691207,422.1339290842,241.079016026809,282.083775947711,388.372602467299,2000.0,0.025,0.28327387435067,0.0371168669858264,15.7988456794603,3.22663026484084,0.829336972412114,0.836829604269066
70.0000000000001,17.3795989973577,-23.708222712004,56.0775401156718,67.5098209367304,55.9651795591086,22.2596928699206,55.7099942002889,15.7988456794592,17.989290283903,-22.8674667684664,17.811964048927,-23.1810374409356,0.69028297012634,0.659933151593594,1.55454227285239,2.21447542444599,3.20806903876055,0.0085860264524257,0,14.7168147217228,21.4768581128681,6,-20,2.5,437.628727312592,498.995228691207,422.133929084199,241.07901602681,282.083775947711,388.372602467299,2000.0,0.025,0.28327387435067,0.0371168669858264,15.7988456794592,3.22663026484084,0.829336972412111,0.836829604269066
