time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],N_comp[rpm],Valve_open[null],SH_suc[K],SH_evap[K],T_app[K],PR[null],eta_is[null],eta_v[null]
0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,34.8091611206498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6,-20,2.5,275.15337825304,275.15337825304,275.15337825304,275.15337825304,275.15337825304,275.15337825304,2000.0,0.025,0.0458138978759166,0.0458138978759166,0.0,1.0,0.82937211751692,0.0
10.0,19.4686248443092,-13.6845521185295,55.2491617271618,69.0495411060338,55.1236091012112,18.4172101851667,54.9190093927043,11.1546249247602,20.1101310580018,-16.2253765932201,19.9538409641704,-19.4990216274384,0.678734130624182,1.00938295863403,1.56761470664781,2.57699766528183,3.7967704127564,0.0093782300614638,0,11.8476594939317,17.5148666552914,6,-20,2.5,445.538950170786,501.766202237761,394.135769627488,226.981125694268,441.088439817274,437.216909124048,2000.0,0.025,6.69193978447925,0.0788501621579201,11.1546249247602,2.83785640583194,0.82937211751692,0.854412585696113
10.0,19.4686248443092,-13.6845521185295,55.2491617271618,69.0495411060335,55.1236091012112,18.4172101851667,54.9190093927043,11.1546249247583,20.1101310580018,-16.2253765932201,19.9538409641704,-19.4990216274375,0.678734130252011,1.00938295808055,1.56761470578824,2.57699766386879,3.79677041275641,0.0093782300563214,0,11.8476594939317,17.5148666552915,6,-20,2.5,445.538950170786,501.766202237761,394.135769627488,226.981125694268,441.088439817274,437.216909124048,2000.0,0.025,6.69193978447925,0.0788501621588011,11.1546249247583,2.83785640583194,0.82937211751692,0.85441258522761
20.0,18.0132877229157,-22.1576153178493,58.9604611335345,70.6813152835085,58.8507296007897,22.7167764876248,58.6366877067108,9.15506026159545,18.5973519890069,-21.8091815523601,18.4489922854895,-22.0650173219296,0.718172612704357,0.764895638274947,1.69340722405161,2.45830286232655,3.42299722774104,0.0087919170746215,0,14.5501751304153,21.6823452521192,6,-20,2.5,438.148201754539,500.365947714084,413.36607819952,220.756524483445,309.3439160578,422.490448546822,2000.0,0.025,0.705133497053481,0.0384152549911505,9.15506026159545,3.27316490140374,0.83077647577448,0.828495466304687
20.0,18.0132877229157,-22.1576153178505,58.9604611335345,70.6813152835085,58.8507296007897,22.7167764876248,58.6366877067108,9.15506026159704,18.5973519890069,-21.8091815523601,18.4489922854895,-22.0650173219297,0.718172612222344,0.764895637761574,1.69340722291504,2.45830286067662,3.42299722774103,0.0087919170687207,0,14.5501751304153,21.6823452521192,6,-20,2.5,438.148201754539,500.365947714084,413.36607819952,220.756524483445,309.3439160578,422.49044854682,2000.0,0.025,0.705133497052223,0.038415254991115,9.15506026159704,3.27316490140374,0.83077647577443,0.828495465748624
30.0,17.4314682363831,-23.5376229688915,58.2356384171806,70.8659142385952,58.128446101634,23.031809030471,57.9047817021384,10.6506093740496,18.0335627151032,-22.789535127645,17.8554313860702,-23.103961866172,0.712246093827825,0.715174579229493,1.63565084214888,2.35082542137838,3.30058029345494,0.0085076804350278,0,15.0895340281723,22.1911408252418,6,-20,2.5,437.724107723086,501.291702083644,417.229473290356,224.973681051783,272.519861441979,376.856527314333,2000.0,0.025,0.360359248818412,0.0372093973798862,10.6506093740496,3.34083380857332,0.828116776477363,0.827152404490905
30.0000000000001,17.4314682363831,-23.5376229688915,58.2356384171806,70.8659142385947,58.128446101634,23.0318090304704,57.9047817021384,10.650609374051,18.0335627151032,-22.789535127645,17.8554313860702,-23.103961866172,0.712246093827815,0.715174579229493,1.6356508421489,2.35082542137839,3.30058029345501,0.0085076804350278,0,15.0895340281723,22.1911408252418,6,-20,2.5,437.724107723086,501.291702083643,417.229473290355,224.97368105178,272.519861441979,376.856527314333,2000.0,0.025,0.360359248818412,0.0372093973798862,10.650609374051,3.34083380857332,0.828116776477376,0.827152404490905
40.0,17.3693932182291,-23.7140518711068,56.9341870381726,68.9363742170798,56.8244736222732,22.70301891967,56.58507150905,13.512001162007,17.9775874424626,-22.8880902533259,17.797576448376,-23.2065790824878,0.698984428770122,0.67712718710759,1.59664755650455,2.27377474361213,3.25296909347879,0.0085333039432304,0,14.9790343716539,21.8982339976488,6,-20,2.5,437.644218294818,500.021423483196,420.670307946669,233.562527991031,275.040222370384,380.050368438557,2000.0,0.025,0.295868664415281,0.0370867852498975,13.512001162007,3.27784547927791,0.828481778177018,0.832280485715289
40.0000000000001,17.3693932182291,-23.7140518711068,56.9341870381725,68.9363742170795,56.8244736222732,22.7030189196695,56.58507150905,13.5120011620048,17.9775874424626,-22.8880902533259,17.797576448376,-23.2065790824878,0.698984428288874,0.677127186641397,1.59664755540524,2.27377474204664,3.25296909347878,0.0085333039373553,0,14.9790343716539,21.8982339976489,6,-20,2.5,437.644218294818,500.021423483197,420.670307946668,233.562527991032,275.040222370384,380.050368438557,2000.0,0.025,0.295868664415281,0.0370867852498975,13.5120011620048,3.2778454792779,0.828481778177005,0.832280485142271
50.0,17.3971413536816,-23.6771339602291,55.9950791396456,67.3200281583473,55.8822123291133,22.2434621381043,55.6244704529751,16.2839419508663,18.0065279436539,-22.8371074147135,17.8303874279483,-23.14835285671,0.689447726389699,0.657869634690651,1.54495020173699,2.20281983642764,3.19504982337492,0.0086019970803262,0,14.7013269954432,21.4626355090949,6,-20,2.5,437.628107632538,498.828976319411,422.350266951412,242.746601975698,284.192437871567,390.294211977233,2000.0,0.025,0.282712871520943,0.037155841080363,16.2839419508663,3.2186367864279,0.829541631874363,0.837507937931585
